"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"505" 1994 4731.51259 6683.439176 2.780105793 5707.475883 4.95146216600817e-11
"506" 1995 4731.51259 6683.439176 2.493337968 5707.475883 4.44071899951028e-11
"507" 1996 4731.51259 6683.439176 2.41584943 5707.475883 4.302709300321e-11
"508" 1997 4731.51259 6683.439176 2.465441882 5707.475883 4.39103512965306e-11
"509" 1998 4731.51259 6683.439176 3.40162199 5707.475883 6.05840347117553e-11
"510" 1999 4731.51259 6683.439176 2.233072288 5707.475883 3.97717704694315e-11
"511" 2000 4731.51259 6683.439176 6.706459853 5707.475883 1.19444311484812e-10
"512" 2001 4731.51259 6683.439176 1.748660468 5707.475883 3.11442326054537e-11
"513" 2002 4731.51259 6683.439176 2.301796583 5707.475883 4.09957733380809e-11
"514" 2003 4731.51259 6683.439176 2.12168028 5707.475883 3.77878412441609e-11
"515" 2004 4731.51259 6683.439176 2.124585857 5707.475883 3.78395905503282e-11
"516" 2005 4731.51259 6683.439176 1.673361797 5707.475883 2.98031378832818e-11
"517" 2006 4731.51259 6683.439176 0.950308033 5707.475883 1.69253065235893e-11
"518" 2007 4731.51259 6683.439176 3.675836493 5707.475883 6.54678874787757e-11
"519" 2008 4731.51259 6683.439176 2.235393404 5707.475883 3.98131103281011e-11
"520" 2009 4731.51259 6683.439176 3.274730355 5707.475883 5.8324051902945e-11
"521" 2010 4731.51259 6683.439176 3.781396047 5707.475883 6.73479387315292e-11
"522" 2011 4731.51259 6683.439176 6.538465046 5707.475883 1.16452267322173e-10
"523" 1983 6683.439176 9440.608763 3.201236657 8062.0239695 4.03636027779248e-11
"524" 1984 6683.439176 9440.608763 2.905961691 8062.0239695 3.66405536207099e-11
"525" 1985 6683.439176 9440.608763 2.766991421 8062.0239695 3.48883117913046e-11
"526" 1986 6683.439176 9440.608763 2.712183772 8062.0239695 3.4197255674416e-11
"527" 1987 6683.439176 9440.608763 2.420090695 8062.0239695 3.05143261701479e-11
"528" 1988 6683.439176 9440.608763 2.840528766 8062.0239695 3.5815526021603e-11
"529" 1989 6683.439176 9440.608763 2.429893763 8062.0239695 3.06379306346575e-11
"530" 1990 6683.439176 9440.608763 5.668508885 8062.0239695 7.14728292508358e-11
"531" 1991 6683.439176 9440.608763 2.265213176 8062.0239695 2.85615137648305e-11
"532" 1992 6683.439176 9440.608763 1.814449314 8062.0239695 2.28779435006245e-11
"533" 1993 6683.439176 9440.608763 2.28385874 8062.0239695 2.87966110786204e-11
"534" 1994 6683.439176 9440.608763 2.63749191 8062.0239695 3.32554844242589e-11
"535" 1995 6683.439176 9440.608763 1.438449796 8062.0239695 1.81370583942213e-11
"536" 1996 6683.439176 9440.608763 1.240189506 8062.0239695 1.56372433384686e-11
"537" 1997 6683.439176 9440.608763 1.200006892 8062.0239695 1.51305906776826e-11
"538" 1998 6683.439176 9440.608763 1.50078861 8062.0239695 1.89230731115153e-11
"539" 1999 6683.439176 9440.608763 1.757765521 8062.0239695 2.21632315471689e-11
"540" 2000 6683.439176 9440.608763 4.586514621 8062.0239695 5.78302306680066e-11
"541" 2001 6683.439176 9440.608763 0.650745297 8062.0239695 8.20508681239642e-12
"542" 2002 6683.439176 9440.608763 0.842230953 8062.0239695 1.0619482180372e-11
